,UK,US
264,collectivised,collectivized
265,collectivises,collectivizes
266,collectivising,collectivizing
267,colonisation,colonization
268,colonise,colonize
269,colonised,colonized
270,coloniser,colonizer
271,colonisers,colonizers
272,colonises,colonizes
273,colonising,colonizing
274,colour,color
275,colourant,colorant
276,colourants,colorants
277,coloured,colored
278,coloureds,coloreds
279,colourful,colorful
280,colourfully,colorfully
281,colouring,coloring
282,colourize,colorize
283,colourized,colorized
284,colourizes,colorizes
285,colourizing,colorizing
286,colourless,colorless
287,colours,colors
288,commercialise,commercialize
289,commercialised,commercialized
290,commercialises,commercializes
291,commercialising,commercializing
292,compartmentalise,compartmentalize
293,compartmentalised,compartmentalized
294,compartmentalises,compartmentalizes
295,compartmentalising,compartmentalizing
296,computerise,computerize
297,computerised,computerized
298,computerises,computerizes
299,computerising,computerizing
300,conceptualise,conceptualize
301,conceptualised,conceptualized
302,conceptualises,conceptualizes
303,conceptualising,conceptualizing
304,connexion,connection
305,connexions,connections
306,contextualise,contextualize
307,contextualised,contextualized
308,contextualises,contextualizes
309,contextualising,contextualizing
310,cosier,cozier
311,cosies,cozies
312,cosiest,coziest
313,cosily,cozily
314,cosiness,coziness
315,cosy,cozy
316,councillor,councilor
317,councillors,councilors
318,counselled,counseled
319,counselling,counseling
320,counsellor,counselor
321,counsellors,counselors
322,crenellated,crenelated
323,criminalise,criminalize
324,criminalised,criminalized
325,criminalises,criminalizes
326,criminalising,criminalizing
327,criticise,criticize
328,criticised,criticized
329,criticises,criticizes
330,criticising,criticizing
331,crueller,crueler
332,cruellest,cruelest
333,crystallisation,crystallization
334,crystallise,crystallize
335,crystallised,crystallized
336,crystallises,crystallizes
337,crystallising,crystallizing
338,cudgelled,cudgeled
339,cudgelling,cudgeling
340,customise,customize
341,customised,customized
342,customises,customizes
343,customising,customizing
344,cypher,cipher
345,cyphers,ciphers
346,decentralisation,decentralization
347,decentralise,decentralize
348,decentralised,decentralized
349,decentralises,decentralizes
350,decentralising,decentralizing
351,decriminalisation,decriminalization
352,decriminalise,decriminalize
353,decriminalised,decriminalized
354,decriminalises,decriminalizes
355,decriminalising,decriminalizing
356,defence,defense
357,defenceless,defenseless
358,defences,defenses
359,dehumanisation,dehumanization
360,dehumanise,dehumanize
361,dehumanised,dehumanized
362,dehumanises,dehumanizes
363,dehumanising,dehumanizing
364,demeanour,demeanor
365,demilitarisation,demilitarization
366,demilitarise,demilitarize
367,demilitarised,demilitarized
368,demilitarises,demilitarizes
369,demilitarising,demilitarizing
370,demobilisation,demobilization
371,demobilise,demobilize
372,demobilised,demobilized
373,demobilises,demobilizes
374,demobilising,demobilizing
375,democratisation,democratization
376,democratise,democratize
377,democratised,democratized
378,democratises,democratizes
379,democratising,democratizing
380,demonise,demonize
381,demonised,demonized
382,demonises,demonizes
383,demonising,demonizing
384,demoralisation,demoralization
385,demoralise,demoralize
386,demoralised,demoralized
387,demoralises,demoralizes
388,demoralising,demoralizing
389,denationalisation,denationalization
390,denationalise,denationalize
391,denationalised,denationalized
392,denationalises,denationalizes
393,denationalising,denationalizing
394,deodorise,deodorize
395,deodorised,deodorized
396,deodorises,deodorizes
397,deodorising,deodorizing
398,depersonalise,depersonalize
399,depersonalised,depersonalized
400,depersonalises,depersonalizes
401,depersonalising,depersonalizing
402,deputise,deputize
403,deputised,deputized
404,deputises,deputizes
405,deputising,deputizing
406,desensitisation,desensitization
407,desensitise,desensitize
408,desensitised,desensitized
409,desensitises,desensitizes
410,desensitising,desensitizing
411,destabilisation,destabilization
412,destabilise,destabilize
413,destabilised,destabilized
414,destabilises,destabilizes
415,destabilising,destabilizing
416,dialled,dialed
417,dialling,dialing
418,dialogue,dialog
419,dialogues,dialogs
420,diarrhoea,diarrhea
421,digitise,digitize
422,digitised,digitized
423,digitises,digitizes
424,digitising,digitizing
425,disc,disk
426,discolour,discolor
427,discoloured,discolored
428,discolouring,discoloring
429,discolours,discolors
430,discs,disks
431,disembowelled,disemboweled
432,disembowelling,disemboweling
433,disfavour,disfavor
434,dishevelled,disheveled
435,dishonour,dishonor
436,dishonourable,dishonorable
437,dishonourably,dishonorably
438,dishonoured,dishonored
439,dishonouring,dishonoring
440,dishonours,dishonors
441,disorganisation,disorganization
442,disorganised,disorganized
443,distil,distill
444,distils,distills
445,dramatisation,dramatization
446,dramatisations,dramatizations
447,dramatise,dramatize
448,dramatised,dramatized
449,dramatises,dramatizes
450,dramatising,dramatizing
451,draught,draft
452,draughtboard,draftboard
453,draughtboards,draftboards
454,draughtier,draftier
455,draughtiest,draftiest
456,draughts,drafts
457,draughtsman,draftsman
458,draughtsmanship,draftsmanship
459,draughtsmen,draftsmen
460,draughtswoman,draftswoman
461,draughtswomen,draftswomen
